id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
99388,144322,AruaROSE,"The seven planets of the world of ROSE Online were created by the goddess Arua. However, Hebarn, the god of malice, took over the seventh planet and renamed it after himself. To protect the other planets from Hebarn, Arua created the Visitors and sent them to Junon, the first planet of Rose Online.",2005-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107477,6261,Asphalt: Urban GT 2,NULL,2005-11-30 00:00:00.000,NULL,NULL,40.0000,2,60.5733,5
168387,94269,Asteroids / Pong / Yars' Revenge,NULL,2005-08-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8848,23001,Astonishia Story,NULL,2005-08-12 00:00:00.000,NULL,NULL,45.0000,3,NULL,NULL
137458,140983,Astral Masters,NULL,2005-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34917,185884,Atari Legends Vol. 1,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189068,47570,Atari Masterpieces Vol. I,NULL,2005-10-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52712,20510,Atelier Iris 2: The Azoth of Destiny,NULL,2005-05-26 00:00:00.000,2,NULL,66.6667,3,73.8084,6
164401,6312,Atomic Betty,NULL,2005-08-25 00:00:00.000,NULL,NULL,57.0000,1,NULL,NULL
154762,8272,ATV Offroad Fury: Blazin' Trails,NULL,2005-04-19 00:00:00.000,NULL,NULL,40.0000,1,NULL,NULL
40667,69810,ATV Quad Frenzy,NULL,2005-11-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38038,16337,Avernum 4,NULL,2005-12-12 00:00:00.000,1,NULL,NULL,NULL,70.0000,0
124139,152135,Avoid,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
57616,222541,AzuFight: Taisen Shiyo,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47734,90930,Azumi,NULL,2005-03-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121073,146896,Backgammon 3D,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172569,132054,Backyard Baseball 2006,NULL,2005-03-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
